Count	Cluster	Cmi	Cpl	Ler	Loc	Gga	Xtr
1	CL00418	Cmi03	Cpl09	Ler08	Loc01	Gga03	Xtr08
1	CL00419	Cmi03	Cpl09	Ler08	Loc01	Gga03	Xtr01
1	CL00615	CmiSca124	Cpl09	Ler08	Loc01	Gga04	XtrSca19
1	CL01253	CmiSca33	Cpl09		Loc01		
1	CL01267		Cpl03	Ler05	Loc16	Gga03	
1	CL01275	Cmi03	Cpl03		Loc01	Gga03	
1	CL01277	Cmi03	Cpl09	Ler08	Loc16	Gga09	
1	CL01308	Cmi03	Cpl03		Loc16	Gga03	
1	CL01348	Cmi03	CplSca351		Loc01	Gga03	
1	CL01349		Cpl03	Ler05		Gga03	Xtr05
1	CL01360		Cpl45	Ler05, LerSca940	Loc16	Gga03	Xtr05
1	CL01367		Cpl03	LerSca62, LerSca520		Gga03	Xtr05
1	CL01388	Cmi03		Ler08	Loc16	Gga03	
1	CL01389	Cmi03		LerSca923	Loc16	Gga03	Xtr05
1	CL01460		Cpl03	Ler05	Loc01	Gga03	
1	CL01461		Cpl09	Ler08	Loc01		Xtr05
1	CL01495		Cpl03	Ler05	Loc01		Xtr05
1	CL01496	Cmi03		Ler05	Loc01		Xtr05
1	CL01497			Ler08	Loc16	Gga03	
1	CL01498	Cmi03	Cpl09			Gga03	Xtr05
1	CL01499			Ler08	Loc16	Gga03	Xtr05
1	CL01500			Ler08		Gga03	Xtr05
1	CL01550		Cpl09		Loc16	Gga03	Xtr05
1	CL01565			Ler05		Gga03	Xtr05
1	CL01613		Cpl09	Ler08	Loc01		
1	CL01633		Cpl03		Loc01		Xtr05
1	CL01650	Cmi03	Cpl15		Loc01	Gga03	Xtr05
1	CL01710	Cmi03	Cpl21		Loc16	Gga03	Xtr05
1	CL01711	Cmi03		Ler05	Loc16	Gga03	
1	CL01712	Cmi03	Cpl03	LerSca55	Loc01		Xtr09
1	CL01713	Cmi03	Cpl03		Loc01	Gga11	Xtr04
1	CL01714	Cmi03	Cpl03	LerSca87		Gga03	Xtr05
1	CL01715	Cmi03	Cpl09	Ler08	Loc16		Xtr03
1	CL01716	Cmi03	Cpl15	Ler08	Loc16	Gga03	
1	CL01717	Cmi03	Cpl09	Ler08	Loc01		Xtr03
1	CL01718	Cmi03	Cpl09		Loc16	Gga01	Xtr05
1	CL01720	Cmi03		Ler08	Loc16	Gga03	Xtr05
1	CL01813		Cpl03		Loc01	Gga03	Xtr05
1	CL01814		Cpl03	LerSca1204	Loc01	Gga09	Xtr08
1	CL01822		Cpl09	LerSca596	LocSca4	Gga03	Xtr05
1	CL01823		Cpl09	LerSca596	Loc01	Gga03	Xtr05
1	CL01884	Cmi03	Cpl09	Ler08	Loc01		
1	CL01886	Cmi03		Ler08	Loc01	Gga03	
1	CL01887	Cmi03	Cpl09		Loc16	Gga03	
1	CL01888	Cmi03	Cpl03	Ler05	Loc16		
1	CL01889	Cmi03		Ler08	Loc16		Xtr05
1	CL01890	Cmi03	Cpl09	Ler08	Loc16		
1	CL01996		Cpl03	LerSca1204	Loc01		Xtr08
1	CL02009		Cpl09	Ler08		Gga03	Xtr05
1	CL02010		Cpl09		Loc01	Gga03	Xtr05
1	CL02012		Cpl09	Ler08	Loc01	Gga03	
1	CL02095			Ler05	Loc01	Gga17	Xtr08
